video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,title_length,title_uppercase,title_emoticons,title_hashtag,title_interpunction,description_length,description_uppercase,description_link,description_emoticons,description_hashtag,description_interpunction,tag_number,TTitle_offici,TTitle_video,TTitle_2018,TTitle_trailer,TTitle_vs,TTitle_2017,TTitle_new,TTitle_live,TTitle_make,TTitle_ft,TDesc_video,TDesc_follow,TDesc_thi,TDesc_subscrib,TDesc_twitter,TDesc_facebook,TDesc_instagram,TDesc_watch,TDesc_get,TDesc_like,TTags_funny,TTags_comedy,TTags_humor,TTags_music,TTags_[none],TTags_interview,TTags_comedian,TTags_celebrity,TTags_television,TTags_news
0GKC_nj7B44,574412,4229,158,596,False,False,False,52,0.13461538461538458,False,False,3,882,0.019274376417233507,False,False,False,69,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0GQmGOju6CE,952677,66539,771,11284,False,False,False,36,0.5277777777777778,False,False,2,540,0.0888888888888889,True,True,False,57,17,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
0H-JHIGRRNM,389158,8265,286,1064,False,False,False,28,0.25,False,False,3,1173,0.04262574595055413,True,True,True,170,22,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False
0HX039UdGpU,2141439,53450,3854,4276,False,False,False,17,0.8823529411764706,False,False,0,1054,0.11669829222011385,True,True,False,89,21,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0I9vWjc9nao,366652,20829,536,1584,False,False,False,23,0.13043478260869568,False,False,3,471,0.04670912951167727,True,True,False,79,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0IC3II1i5yM,113169,1678,485,628,False,False,False,60,0.09999999999999998,False,False,3,171,0.052631578947368474,False,False,False,14,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0IaG9oM4O4s,1675909,6873,7029,0,True,False,False,59,0.10169491525423724,False,False,6,366,0.06284153005464477,False,False,False,39,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0Juc2cL26mg,3462190,1611,136,322,False,False,False,63,0.2857142857142857,False,False,6,851,0.03525264394829608,False,False,False,82,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0KEFbtZQdnE,30914,1125,75,295,False,False,False,35,0.19999999999999996,False,False,2,689,0.03483309143686497,True,True,False,87,16,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False
0KFC9dZ7bxU,691515,11187,5868,3069,False,False,False,39,0.15384615384615385,False,False,5,89,0.1123595505617978,True,True,False,12,6,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0KRpcUAtg00,850341,40859,643,2146,False,False,False,38,0.1842105263157895,False,True,4,464,0.0818965517241379,True,True,True,71,17,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
0MyCrMrkMFo,374012,17784,480,787,False,False,False,37,0.43243243243243246,False,False,2,1430,0.09510489510489506,True,True,True,368,19,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0NWKUHl6JLY,526710,13379,1668,3718,False,False,False,44,0.11363636363636365,False,False,2,1253,0.10933758978451713,True,True,False,133,40,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
0Nip-J6u8C0,13458,38,14,0,True,False,False,25,0.12,False,False,0,198,0.05555555555555558,False,False,False,9,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0O2IAz1E9Ts,720203,19850,1517,1073,False,False,False,55,0.12727272727272732,False,False,5,524,0.08396946564885499,True,True,False,55,22,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0PW9MWDWLH8,150117,11143,64,899,False,False,False,43,0.5348837209302326,False,False,3,578,0.08996539792387548,True,True,False,64,14,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False
0PWu3BRxn60,970204,18441,538,2193,False,False,False,12,0.41666666666666663,False,False,2,511,0.09980430528375739,False,False,False,42,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0PpNlNJ6Nng,2083918,106243,1461,12707,False,False,False,85,0.07058823529411762,False,False,7,4064,0.14419291338582674,True,True,False,764,26,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0Q0_xFYpYL4,425185,34078,275,2639,False,False,False,29,0.13793103448275867,False,False,0,422,0.05213270142180093,True,True,False,80,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0QDjTwsEeE0,291502,11096,359,1196,False,False,False,52,0.15384615384615385,False,False,4,244,0.07786885245901642,True,True,False,39,14,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0QOPb9DlOfY,121157,1951,110,162,False,False,False,80,0.13749999999999996,False,False,3,1483,0.055293324342548855,True,True,False,154,30,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
