video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,title_length,title_uppercase,title_emoticons,title_hashtag,title_interpunction,description_length,description_uppercase,description_link,description_emoticons,description_hashtag,description_interpunction,tag_number,TTitle_offici,TTitle_video,TTitle_trailer,TTitle_ft,TTitle_2018,TTitle_music,TTitle_new,TTitle_war,TTitle_live,TTitle_2017,TDesc_video,TDesc_show,TDesc_thi,TDesc_music,TDesc_live,TDesc_new,TDesc_jimmi,TDesc_hi,TDesc_twitter,TDesc_late,TTags_funny,TTags_comedy,TTags_music,TTags_[none],TTags_interview,TTags_humor,TTags_trailer,TTags_video,TTags_late night,TTags_comedian
1XvdgeXuyPs,51939,360,2,40,False,False,False,36,0.0,False,False,1,104,0.0,False,False,False,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1_Nr0hrjR24,254737,1585,77,505,False,False,False,65,0.10769230769230764,False,False,7,433,0.11316397228637409,True,True,False,52,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1_OVkSsH4NY,199781,20345,75,5167,False,False,False,61,0.14754098360655743,False,False,5,1131,0.11671087533156499,True,True,True,157,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1cUUfMeOijg,811112,28095,329,1214,False,False,False,49,0.18367346938775508,False,False,1,656,0.027439024390243927,True,True,True,71,11,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1ce456Nnkt8,3371368,92738,2630,9840,False,False,False,33,0.5454545454545454,False,False,4,1550,0.15612903225806452,True,True,False,287,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1cgK-BIrXes,916104,27405,2153,5292,False,False,False,38,0.13157894736842102,False,False,2,269,0.022304832713754608,False,False,False,20,6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1dQEfL2BfUM,301583,18437,334,785,False,False,False,31,0.22580645161290325,False,False,1,2054,0.11781888997078871,True,True,False,308,28,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1eS_17CG9sk,64691,5540,42,954,False,False,False,36,0.41666666666666663,False,False,2,1117,0.08236347358997309,True,True,True,89,14,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1gSu12JpKP8,2463668,47639,2778,1846,False,False,False,31,0.12903225806451613,False,False,1,351,0.04558404558404561,True,True,False,47,34,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1glTOFPECNI,298633,6456,85,417,False,False,False,39,0.1282051282051282,False,False,1,44,0.11363636363636365,False,False,False,3,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
